Så enkelt som möjligt för så många som möjligt (1);–//RG|NOM//punct//3  //_SP////0 En//DT|UTR|SIN|IND//det//3 bit//NN|UTR|SIN|IND|NOM//ROOT//3 på//PP//case//5 väg//NN|UTR|SIN|IND|NOM//nmod//3
2.5 Effektivare informationsförsörjning;När//HA//mark//58 informationsinhämtningen//NN|UTR|SIN|DEF|NOM//nsubj//58 är//VB|PRS|AKT//cop//58 maskinell//JJ|POS|UTR|SIN|IND|NOM//advcl//59 sker//VB|PRS|AKT//conj//26 informationsutbytet//NN|NEU|SIN|DEF|NOM//nsubj//59 via//PP//case//62 filöverföringar//NN|UTR|PLU|IND|NOM//obl//59 med//PP//case//65 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//65 intervall//NN|NEU|PLU|IND|NOM//nmod//62 eller//KN//cc//69 via//PP//case//69 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//69 former//NN|UTR|PLU|IND|NOM//conj//62 av//PP//case//71 onlinelösningar//NN|UTR|PLU|IND|NOM//nmod//69 som//HP|-|-|-//nsubj//73 gör//VB|PRS|AKT//acl:relcl//71 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//73 möjligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//73 att//IE//mark//77 inhämta//VB|INF|AKT//advcl//73 informationen//NN|UTR|SIN|DEF|NOM//obj//77 vid//PP//case//81 det//DT|NEU|SIN|DEF//det//81 tillfälle//NN|NEU|SIN|IND|NOM//nmod//78 när//HA//mark//85 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//85 faktiskt//AB|POS//advmod//85 behövs//VB|PRS|SFO//advcl//77 .//MAD//punct//59
2.5 Effektivare informationsförsörjning;I//PP//case//90 det//DT|NEU|SIN|DEF//det//90 manuella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//90 fallet//NN|NEU|SIN|DEF|NOM//obl//91 inhämtas//VB|PRS|SFO//parataxis//59 informationen//NN|UTR|SIN|DEF|NOM//nsubj:pass//91 via//PP//case//94 telefon//NN|UTR|SIN|IND|NOM//obl//91 ,//MID//punct//96 brev//NN|NEU|PLU|IND|NOM//conj//94 ,//MID//punct//98 blanketter//NN|UTR|PLU|IND|NOM//conj//94 ,//MID//punct//100 formulär//NN|NEU|PLU|IND|NOM//conj//94 och//KN//cc//103  //_SP////101 e-post//NN|UTR|SIN|IND|NOM//conj//94 .//MAD//punct//59
2.5 Effektivare informationsförsörjning; //_SP////104 Ofta//AB|POS//advmod//59 är//VB|PRS|AKT//cop//110 denna//DT|UTR|SIN|DEF//det//109 hantering//NN|UTR|SIN|IND|NOM//nsubj//110 tidsödande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//26 ,//MID//punct//110 framförallt//AB//advmod//115 i//PP//case//115 de//DT|UTR/NEU|PLU|DEF//det//115 fall//NN|NEU|PLU|IND|NOM//conj//110 när//HA//mark//118 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//118 handlar//VB|PRS|AKT//advcl//110 om//PP//case//121 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//121 volymer//NN|UTR|PLU|IND|NOM//obl//118 .//MAD//punct//26
2.5 Effektivare informationsförsörjning;Den//DT|UTR|SIN|DEF//det//125 manuella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//125 hanteringen//NN|UTR|SIN|DEF|NOM//nsubj//126 innehåller//VB|PRS|AKT//parataxis//26 också//AB//advmod//126 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//130 kvalitetsmässiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//130 risker//NN|UTR|PLU|IND|NOM//obj//126 p.g.a.//PP|AN//case//134 den//DT|UTR|SIN|DEF//det//134 mänskliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//134 faktorn//NN|UTR|SIN|DEF|NOM//nmod//130 .//MAD//punct//26
2.5 Effektivare informationsförsörjning;Exempelvis//AB//advmod//6 är//VB|PRS|AKT//cop//6 transfereringssystemet//NN|NEU|SIN|DEF|NOM//nmod:poss//4 Ekonomiskt//JJ|POS|NEU|SIN|IND|NOM//amod//4 bistånd//NN|NEU|SIN|IND|NOM//nsubj//6 en//DT|UTR|SIN|IND//det//6 ärendeprocess//NN|UTR|SIN|IND|NOM//ROOT//6 där//HA//advmod//13 den//DT|UTR|SIN|DEF//det//9 sökande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj//13 och//KN//cc//12 kommunernas//NN|UTR|PLU|DEF|GEN//nmod:poss//12 socialnämnder//NN|UTR|PLU|IND|NOM//conj//9 behöver//VB|PRS|AKT//acl:relcl//6 inhämta//VB|INF|AKT//xcomp//13 information//NN|UTR|SIN|IND|NOM//obj//14 från//PP//case//17 Arbetsförmedlingen//PM|NOM//nmod//15 ,//MID//punct//19 Försäkringskassan//NN|UTR|SIN|DEF|NOM//conj//17 ,//MID//punct//21 CSN//PM|NOM//conj//17 ,//MID//punct//23 Skatteverket//PM|NOM//conj//17 ,//MID//punct//25 a-kassorna//NN|UTR|PLU|DEF|NOM//conj//17 m.fl.//AB|AN//obl//13 Idag//AB//advmod//13 utför//VB|PRS|AKT//conj//6 socialnämnderna//NN|UTR|PLU|DEF|NOM//iobj//28 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 delar//NN|UTR|PLU|IND|NOM//obj//28 av//PP//case//34 detta//DT|NEU|SIN|DEF//det//34 arbetet//NN|NEU|SIN|DEF|NOM//nmod//31 manuellt//AB|POS//advmod//28 via//PP//case//37 telefon//NN|UTR|SIN|IND|NOM//obl//28 .//MID//punct//6
2.5 Effektivare informationsförsörjning;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//40 ökar//VB|PRS|AKT//parataxis//6 handläggningstiden//NN|UTR|SIN|DEF|NOM//obj//40 ,//MID//punct//44 är//VB|PRS|AKT//cop//44 resurskrävande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//40 och//KN//cc//46 ökar//VB|PRS|AKT//conj//40 risken//NN|UTR|SIN|DEF|NOM//obj//46 för//PP//case//50 felaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//50 beslut//NN|NEU|PLU|IND|NOM//nmod//47 .//MAD//punct//40
2.5 Effektivare informationsförsörjning;FUT-delegationen//NN|UTR|SIN|DEF|NOM//appos//40 ,//MID//punct//54 Ekonomistyrningsverket//PM|NOM//conj//52 (//PAD//punct//56 ESV//PM|NOM//appos//54 )//PAD//punct//56 och//KN//cc//59 Riksrevisionen//NN|UTR|SIN|DEF|NOM//nsubj//61 har//VB|PRS|AKT//aux//61 påtalat//VB|SUP|AKT//conj//40 förbättringspotential//NN|UTR|SIN|IND|NOM//obj//61 inom//PP//case//64 området//NN|NEU|SIN|DEF|NOM//obl//61 .//MID//punct//61
2.5 Effektivare informationsförsörjning;Senast//AB|SUV//advmod//67 uppskattar//VB|PRS|AKT//conj//40 rapporten//NN|UTR|SIN|DEF|NOM//nmod//69 RiR//PM|NOM//obj//67 2010:18//RG|NOM//case//72 en//DT|UTR|SIN|IND//det//72 nettobesparingspotential//NN|UTR|SIN|IND|NOM//nmod//69 på//PP//case//76 150//RG|NOM//nummod//75 miljoner//NN|UTR|PLU|IND|NOM//nmod//76 kronor//NN|UTR|PLU|IND|NOM//nmod//72 per//PP//case//78 år//NN|NEU|SIN|IND|NOM//nmod//76 om//SN//mark//82 elektroniskt//JJ|POS|NEU|SIN|IND|NOM//amod//81 informationsutbyte//NN|NEU|SIN|IND|NOM//nsubj:pass//82 införs//VB|PRS|SFO//advcl//67 inom//PP//case//87 ett//DT|NEU|SIN|IND//det//85 antal//NN|NEU|SIN|IND|NOM//nmod//87 granskade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//87 transfereringssystem//NN|NEU|PLU|IND|NOM//obl//82 .//MAD//punct//90
2.5 Effektivare informationsförsörjning;Ekonomiskt//JJ|POS|NEU|SIN|IND|NOM//amod//90 bistånd//NN|NEU|SIN|IND|NOM//nsubj:pass//97 ,//MID//punct//92 aktivitetsstöd//NN|NEU|SIN|IND|NOM//conj//90 ,//MID//punct//94 sjuk-//NN|UTR|SIN|IND|NOM//conj//90 och//KN//cc//96 aktivitetsersättning//NN|UTR|SIN|IND|NOM//conj//90 granskades//VB|PRT|SFO//advcl//82 .//MAD//punct//40
2.5 Effektivare informationsförsörjning;Trots//PP//mark//6 att//SN//fixed//0 antalet//NN|NEU|SIN|DEF|NOM//nsubj//6 elektroniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 informationsutbyten//NN|NEU|PLU|IND|NOM//nsubj//6 har//VB|PRS|AKT//aux//6 ökat//VB|SUP|AKT//advcl//13 under//PP//case//9 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 år//NN|NEU|PLU|IND|NOM//obl//6 skulle//VB|PRT|AKT//aux//13 utvecklingen//NN|UTR|SIN|DEF|NOM//nsubj//13 kunna//VB|INF|AKT//aux//13 gå//VB|INF|AKT//ROOT//13 snabbare//AB|KOM//advmod//13 .//MAD//punct//13
2.5 Effektivare informationsförsörjning;Ett//DT|NEU|SIN|IND//det//17 antal//NN|NEU|SIN|IND|NOM//nmod//19 potentiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 hinder//NN|NEU|PLU|IND|NOM//nsubj//20 hämmar//VB|PRS|AKT//parataxis//13 utvecklingsarbetet//NN|NEU|SIN|DEF|NOM//obj//20 .//MAD//punct//13
2.5 Effektivare informationsförsörjning;•//NN|UTR|SIN|IND|NOM//case//2 Rättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 hinder//NN|NEU|PLU|IND|NOM//nsubj//9 ,//MID//punct//2 bl.a.//AB|AN//advmod//6 i//PP//case//6 registerförfattningar//NN|UTR|PLU|IND|NOM//nmod//2 ,//MID//punct//2 kan//VB|PRS|AKT//aux//9 hämma//VB|INF|AKT//ROOT//9 informationsutbytet//NN|NEU|SIN|DEF|NOM//obj//9 .//MAD//punct//9
2.5 Effektivare informationsförsörjning;•//NN|UTR|SIN|IND|NOM//case//1 Verksamhetsprocesser//NN|UTR|PLU|IND|NOM//nsubj//8 och//KN//cc//3 ansvar//NN|NEU|SIN|IND|NOM//conj//1 över//PP//case//5 myndighetsgränser//NN|UTR|PLU|IND|NOM//nmod//3 kan//VB|PRS|AKT//aux//8 vara//VB|INF|AKT//cop//8 oklara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//8 .//MAD//punct//8
2.5 Effektivare informationsförsörjning;•//PP//discourse//3 Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//3 kan//VB|PRS|AKT//aux//3 finnas//VB|INF|SFO//ROOT//3 tekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 utmaningar//NN|UTR|PLU|IND|NOM//nsubj//3 och//KN//cc//7 svårigheter//NN|UTR|PLU|IND|NOM//conj//5 att//IE//mark//9 komma//VB|INF|AKT//advcl//3 överens//PL//compound:prt//9 om//PP//case//15 en//DT|UTR|SIN|IND//det//15 viss//JJ|POS|UTR|SIN|IND|NOM//amod//15 teknisk//JJ|POS|UTR|SIN|IND|NOM//amod//15 lösning//NN|UTR|SIN|IND|NOM//obl//9 .//MAD//punct//3
2.5 Effektivare informationsförsörjning;•//NN|UTR|SIN|IND|NOM//mark//4 Resursmässiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 dilemman//NN|NEU|PLU|IND|NOM//nsubj//4 kan//VB|PRS|AKT//aux//4 hämma//VB|INF|AKT//ROOT//4 utvecklingen//NN|UTR|SIN|DEF|NOM//obj//4 .//MAD//punct//4
2.5 Effektivare informationsförsörjning;•//NN|UTR|SIN|IND|NOM//case//2 Regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 styrning//NN|UTR|SIN|IND|NOM//nsubj//6 av//PP//case//4 myndigheterna//NN|UTR|PLU|DEF|NOM//nmod//2 kan//VB|PRS|AKT//aux//6 sakna//VB|INF|AKT//ROOT//6 tillräcklig//JJ|POS|UTR|SIN|IND|NOM//amod//8 helhetsbild//NN|UTR|SIN|IND|NOM//obj//6 .//MAD//punct//6
2.5 Effektivare informationsförsörjning;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//1 finns//VB|PRS|SFO//ROOT//1 också//AB//advmod//1 skäl//NN|NEU|PLU|IND|NOM//nsubj//1 att//IE//mark//5 tänka//VB|INF|AKT//acl//3 i//PP//case//8 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 banor//NN|UTR|PLU|IND|NOM//obl//5 för//PP//mark//11 att//IE//mark//11 möjliggöra//VB|INF|AKT//advcl//5 en//DT|UTR|SIN|IND//det//14 effektiv//JJ|POS|UTR|SIN|IND|NOM//amod//14 informationsförsörjning//NN|UTR|SIN|IND|NOM//obj//11 för//PP//case//17 denna//DT|UTR|SIN|DEF//det//17 typ//NN|UTR|SIN|IND|NOM//obl//11 av//PP//case//19 transfereringssystem//NN|NEU|SIN|IND|NOM//nmod//17 .//MAD//punct//1
2.5 Effektivare informationsförsörjning;Ett//DT|NEU|SIN|IND//det//23 närliggande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 exempel//NN|NEU|SIN|IND|NOM//nsubj//27 är//VB|PRS|AKT//cop//27 den//DT|UTR|SIN|DEF//det//27 danska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//27 modellen//NN|UTR|SIN|DEF|NOM//parataxis//1 med//PP//case//31 en//DT|UTR|SIN|IND//det//31 myndighetsgemensam//JJ|POS|UTR|SIN|IND|NOM//amod//31 informationsdatabas//NN|UTR|SIN|IND|NOM//nmod//27 .//MAD//punct//27
2.5 Effektivare informationsförsörjning;Där//AB//advmod//59 har//VB|PRS|AKT//aux//59 den//DT|UTR|SIN|DEF//det//37 danska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//37 motsvarigheten//NN|UTR|SIN|DEF|NOM//obj//34 till//PP//case//39 Skatteverket//PM|NOM//nmod//37 en//DT|UTR|SIN|IND//det//42 central//JJ|POS|UTR|SIN|IND|NOM//amod//42 roll//NN|UTR|SIN|IND|NOM//obj//34 för//PP//mark//45 att//IE//mark//45 hantera//VB|INF|AKT//acl//42 ett//DT|NEU|SIN|IND//det//47 antal//NN|NEU|SIN|IND|NOM//nmod//48 grunduppgifter//NN|UTR|PLU|IND|NOM//obj//45 om//PP//case//50 privatpersoner//NN|UTR|PLU|IND|NOM//nmod//48 ,//MID//punct//56 som//HP|-|-|-//case//56 efter//PP//case//56 viss//JJ|POS|UTR|SIN|IND|NOM//amod//56 rollbaserad//PC|PRF|UTR|SIN|IND|NOM//amod//56 filtrering//NN|UTR|SIN|IND|NOM//conj//48 ,//MID//punct//34 är//VB|PRS|AKT//cop//59 tillgängliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//1 för//PP//case//62 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//62 myndigheter//NN|UTR|PLU|IND|NOM//nmod//59 .//MAD//punct//1
2.5 Effektivare informationsförsörjning;Informationsdatabasen//NN|UTR|SIN|DEF|NOM//nsubj//67 är//VB|PRS|AKT//cop//67 mer//AB|KOM//advmod//67 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//parataxis//1 än//KN//case//70 i//PP//case//70 Sverige//PM|NOM//obl//67 och//KN//cc//72 innehåller//VB|PRS|AKT//conj//67 också//AB//advmod//72 information//NN|UTR|SIN|IND|NOM//obj//72 om//PP//case//76 ersättningar//NN|UTR|PLU|IND|NOM//nmod//74 från//PP//case//79 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//79 myndigheter//NN|UTR|PLU|IND|NOM//nmod//76 .//MAD//punct//67
2.5 Effektivare informationsförsörjning;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//3 med//PP//case//2 förstudien//NN|UTR|SIN|DEF|NOM//nmod//0 är//VB|PRS|AKT//ROOT//3 att//IE//mark//5 undersöka//VB|INF|AKT//ccomp//3 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 alternativ//NN|NEU|PLU|IND|NOM//obj//5 för//PP//mark//10 att//IE//mark//10 nå//VB|INF|AKT//advcl//5 effektivare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//12 informationsförsörjning//NN|UTR|SIN|IND|NOM//obj//10 inom//PP//case//14 transfereringssystemet//NN|NEU|SIN|DEF|NOM//nmod//12
2.5 Effektivare informationsförsörjning;Ekonomiskt//JJ|POS|NEU|SIN|IND|NOM//amod//1 bistånd//NN|NEU|SIN|IND|NOM//nsubj//6 .//MAD//punct//1
2.5 Effektivare informationsförsörjning;Förstudierapporten//NN|UTR|SIN|DEF|NOM//conj//1 ska//VB|PRS|AKT//aux//6 också//AB//advmod//6 föreslå//VB|INF|AKT//ROOT//6 vilken//HP|UTR|SIN|IND//obj//6 av//PP//case//10 dessa//DT|UTR/NEU|PLU|DEF//det//10 alternativ//NN|NEU|PLU|IND|NOM//nmod//7 som//HP|-|-|-//nsubj//12 bedöms//VB|PRS|SFO//acl:relcl//10 vara//VB|INF|AKT//cop//15 mest//AB|SUV//advmod//15 fördelaktig//JJ|POS|UTR|SIN|IND|NOM//xcomp//12 .//MAD//punct//6
2.5 Effektivare informationsförsörjning;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//4 är//VB|PRS|AKT//cop//4 framförallt//AB//advmod//3 ett//DT|NEU|SIN|IND//det//4 vägval//NN|NEU|SIN|IND|NOM//ROOT//4 med//PP//case//7 två//RG|NOM//nummod//7 alternativ//NN|NEU|PLU|IND|NOM//nmod//4 som//HP|-|-|-//nsubj:pass//10 ska//VB|PRS|AKT//aux//10 belysas//VB|INF|SFO//acl:relcl//7 .//MAD//punct//4
2.5 Effektivare informationsförsörjning;Det//DT|NEU|SIN|DEF//det//14 första//RO|NOM//amod//14 alternativet//NN|NEU|SIN|DEF|NOM//nsubj//15 bygger//VB|PRS|AKT//parataxis//4 på//PP//case//18 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 synsätt//NN|NEU|SIN|IND|NOM//obl//15 på//PP//case//20 informationsförsörjning//NN|UTR|SIN|IND|NOM//nmod//18 i//PP//case//22 förvaltningen//NN|UTR|SIN|DEF|NOM//nmod//20 där//HA//advmod//26 informationen//NN|UTR|SIN|DEF|NOM//nsubj//26 är//VB|PRS|AKT//cop//26 decentraliserad//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//22 och//KN//cc//28 förvaras//VB|PRS|SFO//conj//26 hos//PP//case//31 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 myndigheter//NN|UTR|PLU|IND|NOM//obl//28 .//MAD//punct//4
2.5 Effektivare informationsförsörjning;Informationen//NN|UTR|SIN|DEF|NOM//nsubj:pass//34 lämnas//VB|PRS|SFO//parataxis//4 därefter//AB//advmod//34 ut//PL//advmod//34 till//PP//case//39 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 myndigheter//NN|UTR|PLU|IND|NOM//obl//34 som//HP|-|-|-//nsubj//42 bl.a.//AB|AN//advmod//42 behöver//VB|PRS|AKT//acl:relcl//39 informationen//NN|UTR|SIN|DEF|NOM//obj//42 i//PP//case//46 sin//PS|UTR|SIN|DEF//nmod:poss//46 ärendehandläggning//NN|UTR|SIN|IND|NOM//nmod//43 .//MAD//punct//4
2.5 Effektivare informationsförsörjning;Det//DT|NEU|SIN|DEF//det//2 andra//RO|NOM//amod//2 alternativet//NN|NEU|SIN|DEF|NOM//nsubj//6 är//VB|PRS|AKT//cop//6 att//IE//mark//6 istället//AB//advmod//6 gå//VB|INF|AKT//ROOT//6 emot//PL//compound:prt//6 en//DT|UTR|SIN|IND//det//11 mer//AB|KOM//advmod//10 centraliserad//PC|PRF|UTR|SIN|IND|NOM//amod//11 lagring//NN|UTR|SIN|IND|NOM//obj//6 av//PP//case//13 information//NN|UTR|SIN|IND|NOM//nmod//11 där//HA//advmod//17 antalet//NN|NEU|SIN|DEF|NOM//nmod//16 informationsägare//NN|UTR|PLU|IND|NOM//nsubj//17 blir//VB|PRS|AKT//acl:relcl//13 färre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//17 .//MAD//punct//6
2.5 Effektivare informationsförsörjning;Den//DT|UTR|SIN|DEF//det//22 danska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//22 modellen//NN|UTR|SIN|DEF|NOM//nsubj//26 är//VB|PRS|AKT//cop//26 ett//DT|NEU|SIN|IND//det//26 närliggande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//26 exempel//NN|NEU|SIN|IND|NOM//parataxis//6 .//MAD//punct//6
2.5 Effektivare informationsförsörjning;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//31 kan//VB|PRS|AKT//aux//31 inte//AB//advmod//31 uteslutas//VB|INF|SFO//parataxis//6 att//SN//mark//36 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//34 alternativ//NN|NEU|PLU|IND|NOM//nsubj//36 kan//VB|PRS|AKT//aux//36 behöva//VB|INF|AKT//ccomp//31 belysas//VB|INF|SFO//xcomp//36 .//MAD//punct//6
2.5 Effektivare informationsförsörjning;Hur//HA//advmod//3 informationen//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 får//VB|PRS|AKT//aux//3 lämnas//VB|INF|SFO//nsubj:pass//12 ut//PL//compound:prt//3 av//PP//case//6 informationsägaren//NN|UTR|SIN|DEF|NOM//obl:agent//3 och//KN//cc//8 tas//VB|PRS|SFO//conj//3 emot//PL//compound:prt//8 av//PP//case//11 andra//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//8 regleras//VB|PRS|SFO//ROOT//12 i//PP//case//16 bland//PP//case//16 annat//PN|NEU|SIN|IND|SUB/OBJ//amod//16 offentlighets-//NN|UTR|-|-|SMS//obl//12 och//KN//cc//18 sekretesslagen//NN|UTR|SIN|DEF|NOM//conj//16 och//KN//cc//22 i//PP//case//22 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 registerförfattningar//NN|UTR|PLU|IND|NOM//conj//16 .//MAD//punct//12
2.5 Effektivare informationsförsörjning;Syftet//NN|NEU|SIN|DEF|NOM//obl//12 med//PP//case//26 reglerna//NN|UTR|PLU|DEF|NOM//nmod//24 är//VB|PRS|AKT//cop//24 bl.a.//AB|AN//advmod//27 att//IE//mark//30 åstadkomma//VB|INF|AKT//acl//24 ett//DT|NEU|SIN|IND//det//33 bra//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//33 integritetsskydd//NN|NEU|SIN|IND|NOM//obj//30 .//MID//punct//12
2.5 Effektivare informationsförsörjning;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//38 är//VB|PRS|AKT//cop//38 därför//AB//advmod//38 angeläget//JJ|POS|NEU|SIN|IND|NOM//parataxis//12 att//SN//mark//42 förstudien//NN|UTR|SIN|DEF|NOM//nsubj//42 noggrant//AB|POS//advmod//42 analysera//VB|INF|AKT//csubj//38 hur//HA//advmod//47 förslag//NN|NEU|PLU|IND|NOM//nsubj//47 som//HP|-|-|-//nsubj:pass//46 framförs//VB|PRS|SFO//acl:relcl//44 påverkar//VB|PRS|AKT//ccomp//42 skyddet//NN|NEU|SIN|DEF|NOM//obj//47 för//PP//case//52 den//DT|UTR|SIN|DEF//det//52 personliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//52 integriteten//NN|UTR|SIN|DEF|NOM//obl//47 .//MAD//punct//38
2.5 Effektivare informationsförsörjning;Vidare//AB|KOM//advmod//3 ska//VB|PRS|AKT//aux//3 förstudierapporten//NN|UTR|SIN|DEF|NOM//nsubj//3 föra//VB|INF|AKT//ROOT//3 ett//DT|NEU|SIN|IND//det//5 resonemang//NN|NEU|SIN|IND|NOM//obj//3 om//PP//compound:prt//3 på//PP//case//9 vilket//HD|NEU|SIN|IND//det//9 sätt//NN|NEU|SIN|IND|NOM//obl//3 slutsatserna//NN|UTR|PLU|DEF|NOM//obj//3 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//12 transfereringssystemet//NN|NEU|SIN|DEF|NOM//nmod//10 Ekonomiskt//JJ|POS|NEU|SIN|IND|NOM//amod//14 bistånd//NN|NEU|SIN|IND|NOM//obj//3 är//VB|PRS|AKT//cop//16 tillämpbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//3 inom//PP//case//19 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 områden//NN|NEU|PLU|IND|NOM//obl//16 .//MAD//punct//3
2.5 Effektivare informationsförsörjning;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//22 förhåller//VB|PRS|AKT//parataxis//3 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//22 väl//AB|POS//advmod//22 i//PP//case//29 linje//NN|UTR|SIN|IND|NOM//fixed//25 med//PP//fixed//25 E-delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//29 uppdrag//NN|NEU|SIN|IND|NOM//obl//22 att//IE//mark//31 skapa//VB|INF|AKT//acl//29 förutsättningar//NN|UTR|PLU|IND|NOM//obj//31 för//PP//case//36 en//DT|UTR|SIN|IND//det//36 accelererad//PC|PRF|UTR|SIN|IND|NOM//amod//36 utveckling//NN|UTR|SIN|IND|NOM//nmod//32 av//PP//case//38 e-förvaltningen//NN|UTR|SIN|DEF|NOM//nmod//36 i//PP//case//40 Sverige//PM|NOM//nmod//38 .//MAD//punct//3
2.5 Effektivare informationsförsörjning;Förväntade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//1 resultat//NN|NEU|PLU|IND|NOM//ROOT//1 av//PP//case//3 förstudien//NN|UTR|SIN|DEF|NOM//nmod//1 ://MAD//punct//1
2.5 Effektivare informationsförsörjning;•//NN|UTR|SIN|IND|NOM//case//4 Konkret//JJ|POS|NEU|SIN|IND|NOM//amod//4 och//KN//cc//3 tydlig//JJ|POS|UTR|SIN|IND|NOM//conj//1 kännedom//NN|UTR|SIN|IND|NOM//ROOT//4 om//PP//mark//8 vad//HP|NEU|SIN|IND//dislocated//8 som//HP|-|-|-//nsubj:pass//8 krävs//VB|PRS|SFO//acl//4 för//PP//mark//11 att//IE//mark//11 uppnå//VB|INF|AKT//advcl//8 effektivast//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//compound:prt//11 möjliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 informationsförsörjning//NN|UTR|SIN|IND|NOM//obj//11 för//PP//case//16 transfereringssystemet//NN|NEU|SIN|DEF|NOM//nmod//14 Ekonomiskt//JJ|POS|NEU|SIN|IND|NOM//amod//18 bistånd//NN|NEU|SIN|IND|NOM//obj//11 .//MAD//punct//4
2.5 Effektivare informationsförsörjning;•//NN|UTR|SIN|IND|NOM//nmod//1 Insikt//NN|UTR|SIN|IND|NOM//ROOT//1 om//PP//mark//7 hur//HA//advmod//4 effektiv//JJ|POS|UTR|SIN|IND|NOM//amod//5 informationsförsörjning//NN|UTR|SIN|IND|NOM//nsubj:pass//7 kan//VB|PRS|AKT//aux//7 förenas//VB|INF|SFO//acl//1 med//PP//case//11 ett//DT|NEU|SIN|IND//det//11 gott//JJ|POS|NEU|SIN|IND|NOM//amod//11 integritetsskydd//NN|NEU|SIN|IND|NOM//obl//7 .//MAD//punct//1
